id,title,author,real_price,sale_price,sale,category,retrieved_at
1,АУТИСТОТ И ГУЛАБОТ ПИСМОНОСЕЦ,Родан Ал Галиди,449 ,399 ден,1,Романса,2025-05-17
2,БЕЗНАДЕЖНО,Колин Хувер,450 ден,,0,Романса,2025-05-17
3,ВИРТУОЗ,Маргрит де Мор,449 ден,,0,Романса,2025-05-17
4,ГОСПОЃА АТАТУРК Првата дама на модерна Турција,Ипек Чалишлар,799 ден,,0,Романса,2025-05-17
5,ДАВЕНИК,Маргрит де Мор,559 ден,,0,Романса,2025-05-17
6,ДЕВОЈКАТА А,Абигејл Дин,499 ден,,0,Романса,2025-05-17
7,ЗАШТИТНИКОТ Човекот од твоите соништа или најлошиот кошмар,Николас Спаркс,599 ден,,0,Романса,2025-05-17
8,ИСТОРИЈА НА ЉУБОВТА,Ники Краус,549 ден,,0,Романса,2025-05-17
9,КНИЖАРОТ ОД КАБУЛ,Осне Сејерштад,499 ден,,0,Романса,2025-05-17
10,ЛЕГНАВ ДА УМРАМ – Обоени птици,Адалет Агаоглу,699 ,549 ден,1,Романса,2025-05-17
11,МОЈОТ ЖИВОТ НА ЧИНИЈА,Индиа Најт,549 ,449 ден,1,Романса,2025-05-17
12,МОЛБА ЗА ЕРОС,Сири Хусведт,399 ,299 ден,1,Романса,2025-05-17
13,НА ПРВ ПОГЛЕД Колку далеку можеш да избегаш од своето минато,Николас Спаркс,599 ,499 ден,1,Романса,2025-05-17
14,НОЌИТЕ ВО РОДАНТ Љубовна врска турната до работ,Николас Спаркс,499 ,399 ден,1,Романса,2025-05-17
15,ПОСЛЕДИЦИТЕ ОД ЉУБОВТА Приказна за Ромео и Јулија против строгите муслимански закони на Саудиска Арабија,Сулејман Адонија,499 ден,,0,Романса,2025-05-17
16,ПРОЕКТОТ РОУЗИ,Грем Симсион,390 ден,,0,Романса,2025-05-17
17,ПРОШЕТКА ЗА СЕЌАВАЊЕ Сè се сведува на тоа кој е покрај тебе,Николас Спаркс,499 ,399 ден,1,Романса,2025-05-17
18,СВЕТИЛКА ЗА ХАНУКА,Томислав Османли,499 ден,,0,Романса,2025-05-17
19,СПАСУВАЊЕ Како повторно да научите да верувате,Николас Спаркс,599 ден,,0,Романса,2025-05-17
20,СПОКОЈ,Атила Бартиш,549 ден,,0,Романса,2025-05-17
21,СУЛТАНОТ ОД ВИЗАНТИЈА,Селџук Алтун,499 ден,,0,Романса,2025-05-17
22,ТЕ ЧЕКАМ,Џенифер Арментраут,450 ден,,0,Романса,2025-05-17
23,УМЕТНОСТА НА СОБЛЕКУВАЊЕТО Не е важно што облекуваш туку како го соблекуваш,Стефани Леман,599 ,499 ден,1,Романса,2025-05-17
24,ФРИДА ИЛИ ЗА БОЛКАТА,Славенка Дракулиќ,499 ден,,0,Романса,2025-05-17
25,ЧОКОЛАДО,Џоана Харис,599 ,499 ден,1,Романса,2025-05-17
26,БЕЛИ АНЂЕО – Икона,N/A,899 ден,,0,Икони,2025-05-17
27,БОГОРОДИЦА Majka Бoжја – Икона,N/A,899 ден,,0,Икони,2025-05-17
28,ВАСКРЕСЕЊЕ ХРИСТОВО- Икона,N/A,899 ден,,0,Икони,2025-05-17
29,ИСУС ХРИСТОС- Икона,N/A,899 ден,,0,Икони,2025-05-17
30,ПРЕСВЕТА БОГОРОДИЦА – Икона,N/A,899 ден,,0,Икони,2025-05-17
31,РОЖДЕСТВО ХРИСТОВО – Икона,N/A,899 ден,,0,Икони,2025-05-17
32,СВЕТ ЛУКА – Икона,N/A,899 ден,,0,Икони,2025-05-17
33,СВЕТА ПЕТКА – Икона,N/A,899 ден,,0,Икони,2025-05-17
34,СВЕТА ТРОЈИЦА – Икона,N/A,899 ден,,0,Икони,2025-05-17
35,СВЕТИ АРХАНГЕЛ МИХАИЛО – Икона,N/A,899 ден,,0,Икони,2025-05-17
36,СВЕТИ ВАСИЛИЈЕ ОСТРОШКИ – Икона,N/A,899 ден,,0,Икони,2025-05-17
37,СВЕТИ ВЕЛИКОМУЧЕНИК ДИМИТРИЈЕ – Икона,N/A,899 ден,,0,Икони,2025-05-17
38,СВЕТИ ГЕОРГИЈE – Икона,N/A,899 ден,,0,Икони,2025-05-17
39,СВЕТИ ДИМИТРИЈЕ – Икона,N/A,899 ден,,0,Икони,2025-05-17
40,СВЕТИ ЈОВАН КРСТИТЕЉ – Икона,N/A,899 ден,,0,Икони,2025-05-17
41,СВЕТИ НИКОЛА – Икона,N/A,899 ден,,0,Икони,2025-05-17
42,СВЕТИ САВА – Икона,N/A,899 ден,,0,Икони,2025-05-17
43,АЗБУКА ЗА НЕПОСЛУШНИТЕ – ФРЕСКИ И ГРОТЕСКИ,Венко Андоновски,450 ден,,0,Белетристика,2025-05-17
44,АКО ТОА Е ЉУБОВ Раскази,Михајло Пантиќ,449 ден,,0,Белетристика,2025-05-17
45,АМЕРИКАНСКА ПРАШИНА,Џенин Каминс,500 ден,,0,Белетристика,2025-05-17
46,АНА МАРИЈА,Лисјен Бодар,350 ден,,0,Белетристика,2025-05-17
47,АНЖЕЛИКА – МАРКИЗАТА НА АНГЕЛИТЕ,Ан Голон,799 ден,,0,Белетристика,2025-05-17
48,АРХИВАТА НА ШЕРЛОК ХОЛМС,Артур Конан Дојл,390 ден,,0,Белетристика,2025-05-17
49,АУТИСТОТ И ГУЛАБОТ ПИСМОНОСЕЦ,Родан Ал Галиди,449 ,399 ден,1,Белетристика,2025-05-17
50,АФЕРАТА КРИСТИ,Нина Де Грамонт,490 ден,,0,Белетристика,2025-05-17
51,АФЕРАТА МИС СТОН,Дарко Митревски,500 ден,,0,Белетристика,2025-05-17
52,АХИЛОВАТА ПЕСНА,Мадлин Милер,500 ден,,0,Белетристика,2025-05-17
53,БАЛТИМОР,Јелена Ленголд,399 ден,,0,Белетристика,2025-05-17
54,БАСКЕРВИЛСКИОТ ПЕС,Артур Конан Дојл,360 ден,,0,Белетристика,2025-05-17
55,БЕГСТВО ВО БУДИМ,Владислав Ванчура,500 ден,,0,Белетристика,2025-05-17
56,БЕДНИ ЛУЃЕ,Фјодор Достоевски,300 ден,,0,Белетристика,2025-05-17
57,БЕЛАДОНА,Даша Дрндиќ,599 ден,,0,Белетристика,2025-05-17
58,БЕЛИ ЗНАМИЊА,Нодар Думбадзе,499 ден,,0,Белетристика,2025-05-17
59,БИСЕРОТ ШТО ЈА СКРШИ ШКОЛКАТА,Надија Хашими,499 ден,,0,Белетристика,2025-05-17
60,БРАЧНИОТ ПОРТРЕТ,Меги О`Ферел,490 ден,,0,Белетристика,2025-05-17
61,БУДЕЊЕ Гласот на морето и зборува на душата,Кејт Шопен,499 ден,,0,Белетристика,2025-05-17
62,БУНТОТ НА АНГЕЛИТЕ,Анатол Франс,500 ден,,0,Белетристика,2025-05-17
63,БУРА НА МЕЧЕВИ – Челик и снег књига 2,Џорџ Р.Р.Мартин,499 ден,,0,Белетристика,2025-05-17
64,БУРА НА МЕЧЕВИ 1 – Челик и снег,Џорџ Р.Р.Мартин,499 ден,,0,Белетристика,2025-05-17
65,ВЕЧНИОТ СИН,Кристовао Теза,499 ,399 ден,1,Белетристика,2025-05-17
66,ВЕШТЕРСКИ ЧЕКАН,Вацлав Каплицки,490 ден,,0,Белетристика,2025-05-17
67,ВИРТУОЗ,Маргрит де Мор,449 ден,,0,Белетристика,2025-05-17
68,ВО ЕДЕН МИГ,Сузан Редферн,500 ден,,0,Белетристика,2025-05-17
69,ВО ЧЕСТ НА КАТАЛОНИЈА,Џорџ Орвел,549 ден,,0,Белетристика,2025-05-17
70,ВОЈНА И ЉУБОВ,Џули Бери,520 ден,,0,Белетристика,2025-05-17
71,ВОЛШЕБНИОТ АПРИЛ,Елизабет Фон Армин,500 ден,,0,Белетристика,2025-05-17
72,ВРАТИТЕ НА ПЕРЦЕПЦИЈАТА – РАЈ И ПЕКОЛ,Алдус Хаксли,449 ден,,0,Белетристика,2025-05-17
73,ВРАЌАЊЕТО НА ШЕРЛОК ХОЛМС,Артур Конан Дојл,420 ден,,0,Белетристика,2025-05-17
74,ВРЕМЕ Е ПОВТОРНО ДА ГИ ЗАПАЛИМЕ ЅВЕЗДИТЕ,Виржини Грималди,450 ден,,0,Белетристика,2025-05-17
75,ВРЕМЕ НА ПРЕПРАВАЊЕ,Жоао Пинто Коељо,450 ден,,0,Белетристика,2025-05-17
76,ВРЕМЕТО ПРЕД ПРИКАЗНАТА,Митко Маџунков,790 ден,,0,Белетристика,2025-05-17
77,ВТОРА ФОНДАЦИЈА,Исак Асимов,380 ден,,0,Белетристика,2025-05-17
78,ГОЗБА ЗА ВРАНИ КНИГА 1,Џорџ Р.Р.Мартин,499 ден,,0,Белетристика,2025-05-17
79,ГОЗБА ЗА ВРАНИ КНИГА 2,Џорџ Р.Р.Мартин,499 ден,,0,Белетристика,2025-05-17
80,ГОЛЕМИОТ ГЕТСБИ,Френсис Скот Фицџералд,250 ден,,0,Белетристика,2025-05-17
81,ГОСПОДАР НА ИМПЕРАТОРИТЕ,Гај Гавриел Кеј,899 ,799 ден,1,Белетристика,2025-05-17
82,ГОСПОДИН ИЗ САН ФРАНЦИСКА,Иван Алексејевич Буњин,499 ден,,0,Белетристика,2025-05-17
83,ГОСПОЃА АТАТУРК Првата дама на модерна Турција,Ипек Чалишлар,799 ден,,0,Белетристика,2025-05-17
84,ГРАДИНА НА ЉУБОВТА,Саша Обрадовиќ,499 ден,,0,Белетристика,2025-05-17
85,ГУБЕЊЕ ЗАСЕКОГАШ,Гел Фрејзен,399 ден,,0,Белетристика,2025-05-17
86,ДАВЕНИК,Маргрит де Мор,559 ден,,0,Белетристика,2025-05-17
87,ДЕВОЈКАТА А,Абигејл Дин,499 ден,,0,Белетристика,2025-05-17
88,ДЕВОЈКАТА ШТО ЈА НАСЛИКА СМРТТА,N/A,390 ден,,0,Белетристика,2025-05-17
89,ДЕВОЈКАТА ШТО ТРЕБАШЕ ДА УМРЕ,Давид Лагеркранц,500 ден,,0,Белетристика,2025-05-17
90,ДЕВОЈКИТЕ ШТО ГОРАТ,К. Џ. Тјудор,500 ден,,0,Белетристика,2025-05-17
91,ДЕЛИРИУМ,Лорен Оливер,350 ден,,0,Белетристика,2025-05-17
92,ДЕТЕТО НА МЕСЕЧЕВАТА СВЕТЛИНА,Карен Мекквешчен,500 ден,,0,Белетристика,2025-05-17
93,ДОБРО Е ДА СЕ ЗНАЕ!,Никола Груевски,590 ден,,0,Белетристика,2025-05-17
94,ДОЛИНАТА НА СТРАВОТ,Артур Конан Дојл,360 ден,,0,Белетристика,2025-05-17
95,ДРУГИ ЉУБОВНИ ПРИКАЗНИ,Лучијан Дан Тодоровиќ,399 ден,,0,Белетристика,2025-05-17
96,ДРУГИОТ АЈНШТАЈН,Мери Бенедикт,420 ден,,0,Белетристика,2025-05-17
97,ДУПКА – ОДИ ВО ПЕКОЛОТ драми,Али Мустафа Кемал Тут,299 ден,,0,Белетристика,2025-05-17
98,"Е, БАШ МЕ ЗАБОЛЕ – ДНЕВНИК",Марк Менсон,360 ден,,0,Белетристика,2025-05-17
99,ЕДЕН ОД НАС Е СЛЕДЕН,Карен М. Мекманус,450 ден,,0,Белетристика,2025-05-17
100,ЕДИНСТВЕН МАТИЧЕН БРОЈ,Лидија Димковска,350 ден,,0,Белетристика,2025-05-17
101,ЕЛИНЕ ВЕРЕ,Луис Коуперус,799 ден,,0,Белетристика,2025-05-17
102,ЖЕДНА РЕКА,Родан Ал Галиди,549 ден,,0,Белетристика,2025-05-17
103,ЖЕНАТА НЕ Е МАЖ,Итаф Рам,500 ден,,0,Белетристика,2025-05-17
104,ЖИВОТ БЕЗ ИМЕ,Владимир Стојсавњевиќ,599 ден,,0,Белетристика,2025-05-17
105,ЖИВОТИНСКА ФАРМА,Џорџ Орвел,399 ден,,0,Белетристика,2025-05-17
106,ЗА ВАШЕ ДОБРО,Саманта Даунинг,490 ден,,0,Белетристика,2025-05-17
107,ЗАГЛЕДАН У ЖИВОТ књига промишљања свакодневице,Иван Александрович Иљин,399 ден,,0,Белетристика,2025-05-17
108,ЗАКОНОТ НА ВЕЧНОСТА,Нодар Думбадзе,599 ден,,0,Белетристика,2025-05-17
109,ЗАЛОЖНИЦИ,Клер Мекинтош,500 ден,,0,Белетристика,2025-05-17
110,ЗАСЛЕПУВАЊЕ 1,Мирчеа Катареску,499 ден,,0,Белетристика,2025-05-17
111,ЗАСЛЕПУВАЊЕ 2,Мирчеа Катареску,499 ден,,0,Белетристика,2025-05-17
112,ЗАШТИТНИКОТ Човекот од твоите соништа или најлошиот кошмар,Николас Спаркс,599 ден,,0,Белетристика,2025-05-17
