id,title,author,price,category,retrieved_at
1,Светот ти припаѓа тебе: Што ти недостасува?,Роберт Колиер,400,МОТИВАЦИЈА И САМОПОМОШ,2025-05-15
2,Светот ти припаѓа тебе: Погледни се како го правиш тоа,Роберт Колиер,400,МОТИВАЦИЈА И САМОПОМОШ,2025-05-15
3,Инвестирај во себе: Ментални пријатели и непријатели,Орисон Свет Марден,400,МОТИВАЦИЈА И САМОПОМОШ,2025-05-15
4,Инвестирај во себе: Биди општествено успешен,Орисон Свет Марден,400,МОТИВАЦИЈА И САМОПОМОШ,2025-05-15
5,Граматика на љубовта,Иван Бунин,300,РАСКАЗИ,2025-05-15
6,Големи зборови за мали уши: НЕПОТИЗАМ,"Иван Дричко, Здравко Гиров (илустрации)",220,СЛИКОВНИЦИ,2025-05-15
7,Зорки и Цветка,Оливера Ќорвезироска,290,СЛИКОВНИЦИ,2025-05-15
8,Тајната книга на Флора Лиа,Пати Калахан Хенри,520,ИСТОРИСКА ФИКЦИЈА,2025-05-15
9,Околу три по полноќ,Димитрие Дурацовски,500,МАКЕДОНСКА КНИЖЕВНОСТ,2025-05-15
10,Worthy (Достојни),Џејми Керн Лима,590,ПСИХОЛОГИЈА,2025-05-15
11,Чудесната џунгла,Наташа Поповска,135,СЛИКОВНИЦИ,2025-05-15
12,Ѕвезда на месечината,Марија Ралповска,200,РОМАНИ ЗА ДЕЦА,2025-05-15
13,Ние животните и вие децата,Љубинка Донева,250,ПОЕЗИЈА ЗА ДЕЦА,2025-05-15
14,Големата тајна,Марија Богатиновска,250,РОМАНИ ЗА ДЕЦА,2025-05-15
15,Здрава храна во шума собрана,Славица Андреева,180,СЛИКОВНИЦИ,2025-05-15
16,Соочување со антропоценот: Фосилниот капитализам и кризата на Земјиниот систе...,Ијан Ангус,500,ФИЛОЗОФИЈА И СВЕТОГЛЕД,2025-05-15
17,Indicta causa (Осуден во отсуство),Сашо Гигов - Гиш,300,МАКЕДОНСКА ПОЕЗИЈА,2025-05-15
18,небо трето,Ѓоко Здравески,300,МАКЕДОНСКА ПОЕЗИЈА,2025-05-15
19,Мачето Мице,Татјана Гаврилова,200,РОМАНИ ЗА ДЕЦА,2025-05-15
20,Приказна од Ефес: Антија и Хаброком,Ксенофонт од Ефес,270,КЛАСИЦИ,2025-05-15
21,Нешто трето,Максим Ристески,330,РАСКАЗИ,2025-05-15
22,Биби Боби и куќичката од чоколадо - Боенка,N/A,99,БОЕНКИ И ИЗРАБОТКИ ЗА ВОЗРАСНИ,2025-05-15
23,Црното маче,Неше Рамовиќ,400,СЛИКОВНИЦИ,2025-05-15
24,"Ендодонција, том 1 и 2",Арналдо Кастелучи,18.500,СТОМАТОЛОГИЈА,2025-05-15
25,Господарка на играта,Сидни Шелдон,450,КРИМИ/ТРИЛЕР,2025-05-15
26,Ветување,Даниела Стил,380,РОМАНСИ,2025-05-15
27,Сега и засекогаш,Даниела Стил,420,РОМАНСИ,2025-05-15
28,Полн круг,Даниела Стил,420,РОМАНСИ,2025-05-15
29,Прстен,Даниела Стил,420,РОМАНСИ,2025-05-15
30,Клуч за успехот,Наполеон Хил,300,БИЗНИС И МЕНАЏМЕНТ,2025-05-15
31,Волшебни скали до успехот,Наполеон Хил,300,БИЗНИС И МЕНАЏМЕНТ,2025-05-15
32,Ако го дочекам утрото,Сидни Шелдон,450,КРИМИ/ТРИЛЕР,2025-05-15
33,Светот што чека да се роди,Скот Пек,450,ПСИХОЛОГИЈА,2025-05-15
34,Развивајте го лидерството во вас,Џон Максвел,380,ЛИДЕРСТВО,2025-05-15
35,Како да стекнете самодоверба,Норман Винсент Пил,380,МОТИВАЦИЈА И САМОПОМОШ,2025-05-15
36,,Dejvid Liberman,350,ПСИХОЛОГИЈА,2025-05-15
37,,Skot Pek,420,ПСИХОЛОГИЈА,2025-05-15
38,,Skot Pek,420,ДУХОВНОСТ,2025-05-15
39,,Skot Pek,420,ДУХОВНОСТ,2025-05-15
40,,Dzon Maksvel,300,ПСИХОЛОГИЈА,2025-05-15
41,Ништо не трае вечно,Сидни Шелдон,400,КРИМИ/ТРИЛЕР,2025-05-15
42,,Robert L.D Kuper,350,ПОЛИТИКА,2025-05-15
43,,Dejvid Livingston,500,ПОЛИТИКА,2025-05-15
44,Плима на сеќавања,"Сидни Шелдон, Тили Багшо",450,КРИМИ/ТРИЛЕР,2025-05-15
45,Главата на Кафка,Ристо Лазаров,150,МАКЕДОНСКА КНИЖЕВНОСТ,2025-05-15
46,Митологики. 4: Голиот човек,Клод Леви-Строс,1.350,АНТРОПОЛОГИЈА,2025-05-15
47,Митологики 3: Потеклото на однесувањето на трпеза,Клод Леви-Строс,950,АНТРОПОЛОГИЈА,2025-05-15
48,Руска убавица,Виктор Ерофеев,550,СОВРЕМЕНА КНИЖЕВНОСТ,2025-05-15
49,"Срце, глава, стомак",Камило Кастело Бранко,350,КЛАСИЦИ,2025-05-15
50,"Разделник за книги, Kong",N/A,549,РАЗДЕЛНИЦИ,2025-05-15
51,"Разделник за книги, Psycho",N/A,439,РАЗДЕЛНИЦИ,2025-05-15
52,"Сет од 4 метални разделници, Harry Potter - Hogwarts Houses",N/A,1.750,РАЗДЕЛНИЦИ,2025-05-15
