id,title,author,real_price,sale_price,sale,category,retrieved_at
1,Фаворити,од: Лејн Фарго,590 ден,590 ден,0,Романси,2025-05-02
2,Тунел,од: Ана Волц,400 ден,400 ден,0,Романси,2025-05-02
3,Љубов во Рим,од: Сара Адамс,490 ден,490 ден,0,Романси,2025-05-02
4,Шпанска љубовна измама,од: Елена Армас,590 ден,590 ден,0,Романси,2025-05-02
5,Изопачени лаги,од: Ана Хуанг,590 ден,590 ден,0,Романси,2025-05-02
6,Убавината на скршените нешта,од: Ивана Спасев,390 ден,390 ден,0,Романси,2025-05-02
7,Убавината на скршените нешта,од: Ивана Спасев,390 ден,390 ден,0,Романси,2025-05-02
8,Твој Толак,од: Торе Ренберг,370 ден,370 ден,0,Романси,2025-05-02
9,За нас (Браќата Бејли #2),од: Клер Кингсли,550 ден,550 ден,0,Романси,2025-05-02
10,Завеани за Божиќ,од: Сара Морган,490 ден,490 ден,0,Романси,2025-05-02
11,Божиќниот клуб на читатели,од: Сара Морган,490 ден,490 ден,0,Романси,2025-05-02
12,Бессони во Менхетен,од: Вај Киленд,450 ден,450 ден,0,Романси,2025-05-02
13,Како намќорот го спаси Божиќ,од: Клер Кингсли,470 ден,470 ден,0,Романси,2025-05-02
14,За тебе (Браќата Бејли #1),од: Клер Кингсли,390 ден,390 ден,0,Романси,2025-05-02
15,Љубов на втор поглед,од: Меган Квин,590 ден,590 ден,0,Романси,2025-05-02
16,ВРАЌАЊЕ,од: Али Мартинез,450 ден,450 ден,0,Романси,2025-05-02
17,Невидлива убавина,од: Ејми Хармон,450 ден,450 ден,0,Романси,2025-05-02
18,Деновите кога најмногу те љубев,од: Ејми Неф,490 ден,490 ден,0,Романси,2025-05-02
19,Првата вечерна ѕвезда,од: Сузан Е. Филипс,440 ден,440 ден,0,Романси,2025-05-02
20,Изопачена омраза,од: Ана Хуанг,500 ден,500 ден,0,Романси,2025-05-02
21,"На господин Филип, со љубов (Бриџертон #5)",од: Џулија Квин,520 ден,520 ден,0,Романси,2025-05-02
22,Венчани до изгрејсонце (Хатавеј #4),од: Лиса Клејпас,470 ден,349 ден,1,Романси,2025-05-02
23,Кафеноока (Тревис #4),од: Лиса Клејпас,450 ден,450 ден,0,Романси,2025-05-02
24,Со секој здив,од: Николас Спаркс,450 ден,450 ден,0,Романси,2025-05-02
25,Договор за љубов (Dreamland Billionaires #2),од: Лорен Ашер,490 ден,490 ден,0,Романси,2025-05-02
26,Љубов во Тел Авив,од: Сандра Малетски,370 ден,370 ден,0,Романси,2025-05-02
27,Романса со господин Бриџертон (Бриџертон #4),од: Џулија Квин,520 ден,520 ден,0,Романси,2025-05-02
28,Беспрекорно,од: Елси Силвер,520 ден,520 ден,0,Романси,2025-05-02
29,Безобразни писма,од: Вај Киленд,450 ден,450 ден,0,Романси,2025-05-02
30,Шепотот на судбината,од: Ана Антовска,390 ден,390 ден,0,Романси,2025-05-02
31,Кралицата Шарлота,"од: Џулија Квин, Шонда Рајмс,",520 ден,520 ден,0,Романси,2025-05-02
32,Скрши го мразот,од: Хана Грејс,590 ден,590 ден,0,Романси,2025-05-02
33,Ривалите,од: Вај Киленд,450 ден,450 ден,0,Романси,2025-05-02
34,Види ме,од: Николас Спаркс,590 ден,590 ден,0,Романси,2025-05-02
35,Свадба во декември,од: Сара Морган,490 ден,490 ден,0,Романси,2025-05-02
36,КУМ,од: Саша Богдан,300 ден,300 ден,0,Романси,2025-05-02
37,Плејбој,од: Вај Киленд,450 ден,450 ден,0,Романси,2025-05-02
38,Изопачени игри,од: Ана Хуанг,470 ден,470 ден,0,Романси,2025-05-02
39,Сите недовршени нешта,од: Ребека Јарос,590 ден,590 ден,0,Романси,2025-05-02
40,Последната желба,од: Николас Спаркс,550 ден,550 ден,0,Романси,2025-05-02
41,Длабоко под површината,од: Памела Клер,420 ден,420 ден,0,Романси,2025-05-02
42,Фустанот и Светец,од: Колин Хувер,350 ден,350 ден,0,Романси,2025-05-02
43,Последното писмо,од: Ребека Јарос,590 ден,590 ден,0,Романси,2025-05-02
44,Статистичка веројатност за љубов на прв поглед,од: Џенифер И. Смит,390 ден,390 ден,0,Романси,2025-05-02
45,Танцувај со мене,од: Сузан Е. Филипс,520 ден,520 ден,0,Романси,2025-05-02
46,Домашен фронт,од: Кристин Хана,550 ден,550 ден,0,Романси,2025-05-02
47,ОСЛОБОДУВАЊЕ,од: Али Мартинез,450 ден,450 ден,0,Романси,2025-05-02
48,Прекрасна грешка,од: Вај Киленд,450 ден,450 ден,0,Романси,2025-05-02
49,ИГРАЧОТ,од: Вај Киленд,450 ден,450 ден,0,Романси,2025-05-02
50,Изопачена љубов,од: Ана Хуанг,450 ден,450 ден,0,Романси,2025-05-02
51,ПОГОДОКОТ #3,од: Ел Кенеди,450 ден,450 ден,0,Романси,2025-05-02
52,Најслаткиот филџан кафе,од: Оља Петрушевска – Томева,320 ден,320 ден,0,Романси,2025-05-02
53,Книгољупци,од: Емили Хенри,550 ден,550 ден,0,Романси,2025-05-02
54,Љубов меѓу редови (Dreamland Billionaires #1),од: Лорен Ашер,490 ден,490 ден,0,Романси,2025-05-02
55,Бадникова вечер во Фрајдеј Харбор (Фрајдеј Харбор #1),од: Лиса Клејпас,390 ден,390 ден,0,Романси,2025-05-02
56,Понуда од џентлмен (Бриџертон #3),од: Џулија Квин,450 ден,450 ден,0,Романси,2025-05-02
57,Грешката (Off-Campus #2),од: Ел Кенеди,450 ден,450 ден,0,Романси,2025-05-02
58,Божиќ во Шкотска,од: Сара Морган,490 ден,490 ден,0,Романси,2025-05-02
59,На работ,од: Памела Клер,490 ден,490 ден,0,Романси,2025-05-02
60,Намами ме во самрак (Хатавеј #3),од: Лиса Клејпас,450 ден,450 ден,0,Романси,2025-05-02
61,Ова започнува со нас,од: Колин Хувер,520 ден,520 ден,0,Романси,2025-05-02
62,Поканата,од: Вај Киленд,450 ден,450 ден,0,Романси,2025-05-02
63,Заведи ме в мугри (Хатавеј #2),од: Лиса Клејпас,450 ден,450 ден,0,Романси,2025-05-02
64,Шах мат,од: Р.Л Метјусон,440 ден,440 ден,0,Романси,2025-05-02
65,Еднаш и засекогаш,од: Џудит МекНот,490 ден,490 ден,0,Романси,2025-05-02
66,Предоцна,од: Колин Хувер,490 ден,490 ден,0,Романси,2025-05-02
67,Совршен допир,од: Ана Антовска,350 ден,350 ден,0,Романси,2025-05-02
68,Договорот (Off-Campus #1),од: Ел Кенеди,450 ден,450 ден,0,Романси,2025-05-02
69,Забранет допир,од: Памела Клер,450 ден,450 ден,0,Романси,2025-05-02
70,Совршенство,од: Р.Л Метјусон,440 ден,440 ден,0,Романси,2025-05-02
71,Татјана и Александар II: Мостот Кон Светиот Крст,од: Паулина Сајмонс,500 ден,500 ден,0,Романси,2025-05-02
72,Со љубов од Лондон,од: Сара Џио,490 ден,490 ден,0,Романси,2025-05-02
73,Сите ја сакаат Марта,од: Мирјана Проданова,320 ден,320 ден,0,Романси,2025-05-02
74,Коронтин,од: Саша Богдан,300 ден,300 ден,0,Романси,2025-05-02
75,Егоманијак,од: Вај Киленд,450 ден,450 ден,0,Романси,2025-05-02
76,Луѓето кои ги среќаваме на одмор,од: Емили Хенри,450 ден,450 ден,0,Романси,2025-05-02
