title,author,real_price,sale_price,IsOnSale,category,retrieved_at,Discount (%)
Accounting,Carl S. Warren,6199.0,4959.0,True,Accounting & Finance,2025-05-15,20.0
Pricing in General I,Pietro Parodi,5399.0,4319.0,True,Accounting & Finance,2025-05-15,20.0
Behavioral Finance i,Elzbieta Kubinska,9399.0,7519.0,True,Accounting & Finance,2025-05-15,20.0
Handbook of Alternat,,10099.0,8079.0,True,Accounting & Finance,2025-05-15,20.0
Using QuickBooks (R),Glenn Owen Barbara,4999.0,3999.0,True,Accounting & Finance,2025-05-15,20.0
How Money Became Dan,Christopher Varelas,1699.0,1359.0,True,Accounting & Finance,2025-05-15,20.0
The Purpose of Capit,Jed Emerson,1999.0,1599.0,True,Accounting & Finance,2025-05-15,20.0
The Finance Book,Stuart Warner,999.0,799.0,True,Accounting & Finance,2025-05-15,20.0
Case Studies in Fina,Robert Bruner,3199.0,2559.0,True,Accounting & Finance,2025-05-15,20.0
Dual Transformation,Scott D. Anthony,1599.0,1279.0,True,Accounting & Finance,2025-05-15,20.0
Wiley GAAP 2016: Int,Joanne M. Flood,11899.0,9519.0,True,Accounting & Finance,2025-05-15,20.0
Wiley CPAexcel Exam,O. Ray Whittington,15399.0,12319.0,True,Accounting & Finance,2025-05-15,20.0
Property Finance,Giacomo Morri,5299.0,4239.0,True,Accounting & Finance,2025-05-15,20.0
Wiley CPAexcel Exam,Wiley,9199.0,7359.0,True,Accounting & Finance,2025-05-15,20.0
World's Leading Fina,Dr. Angelo Venardos,15299.0,12239.0,True,Accounting & Finance,2025-05-15,20.0
Contingent Convertib,George Furstenberg,5299.0,4239.0,True,Accounting & Finance,2025-05-15,20.0
Fundamentals of Adva,Joe Ben Hoyle,4899.0,3919.0,True,Accounting & Finance,2025-05-15,20.0
Business Information,Gerhard Kristandl,3599.0,2879.0,True,Accounting & Finance,2025-05-15,20.0
Cost Management: A S,Gary Cokins,4499.0,3599.0,True,Accounting & Finance,2025-05-15,20.0
Contemporary Issues,Stewart Jones,5499.0,4399.0,True,Accounting & Finance,2025-05-15,20.0
Accountants' Handboo,D. R. Carmichael,6099.0,4879.0,True,Accounting & Finance,2025-05-15,20.0
Rich Dad's Guide to,Robert T. Kiyosaki,1099.0,879.0,True,Accounting & Finance,2025-05-15,20.0
The Small-Cap Advant,Brian Bares,2499.0,1999.0,True,Accounting & Finance,2025-05-15,20.0
Forensic Accounting,Instruct Jay Leiner,9399.0,7519.0,True,Accounting & Finance,2025-05-15,20.0
