title,author,real_price,sale_price,IsOnSale,category,retrieved_at,Discount (%)
АУТИСТОТ И ГУЛАБОТ ПИСМОНОСЕЦ,Родан Ал Галиди,449.0,399.0,True,Романса,2025-05-17,11.0
БЕЗНАДЕЖНО,Колин Хувер,450.0,0.0,False,Романса,2025-05-17,0.0
ВИРТУОЗ,Маргрит де Мор,449.0,0.0,False,Романса,2025-05-17,0.0
ГОСПОЃА АТАТУРК Првата дама на модерна Турција,Ипек Чалишлар,799.0,0.0,False,Романса,2025-05-17,0.0
ДАВЕНИК,Маргрит де Мор,559.0,0.0,False,Романса,2025-05-17,0.0
ДЕВОЈКАТА А,Абигејл Дин,499.0,0.0,False,Романса,2025-05-17,0.0
ЗАШТИТНИКОТ Човекот од твоите соништа или најлошиот кошмар,Николас Спаркс,599.0,0.0,False,Романса,2025-05-17,0.0
ИСТОРИЈА НА ЉУБОВТА,Ники Краус,549.0,0.0,False,Романса,2025-05-17,0.0
КНИЖАРОТ ОД КАБУЛ,Осне Сејерштад,499.0,0.0,False,Романса,2025-05-17,0.0
ЛЕГНАВ ДА УМРАМ – Обоени птици,Адалет Агаоглу,699.0,549.0,True,Романса,2025-05-17,21.0
МОЈОТ ЖИВОТ НА ЧИНИЈА,Индиа Најт,549.0,449.0,True,Романса,2025-05-17,18.0
МОЛБА ЗА ЕРОС,Сири Хусведт,399.0,299.0,True,Романса,2025-05-17,25.0
НА ПРВ ПОГЛЕД Колку далеку можеш да избегаш од своето минато,Николас Спаркс,599.0,499.0,True,Романса,2025-05-17,17.0
НОЌИТЕ ВО РОДАНТ Љубовна врска турната до работ,Николас Спаркс,499.0,399.0,True,Романса,2025-05-17,20.0
ПОСЛЕДИЦИТЕ ОД ЉУБОВТА Приказна за Ромео и Јулија против строгите муслимански закони на Саудиска Арабија,Сулејман Адонија,499.0,0.0,False,Романса,2025-05-17,0.0
ПРОЕКТОТ РОУЗИ,Грем Симсион,390.0,0.0,False,Романса,2025-05-17,0.0
ПРОШЕТКА ЗА СЕЌАВАЊЕ Сè се сведува на тоа кој е покрај тебе,Николас Спаркс,499.0,399.0,True,Романса,2025-05-17,20.0
СВЕТИЛКА ЗА ХАНУКА,Томислав Османли,499.0,0.0,False,Романса,2025-05-17,0.0
СПАСУВАЊЕ Како повторно да научите да верувате,Николас Спаркс,599.0,0.0,False,Романса,2025-05-17,0.0
СПОКОЈ,Атила Бартиш,549.0,0.0,False,Романса,2025-05-17,0.0
СУЛТАНОТ ОД ВИЗАНТИЈА,Селџук Алтун,499.0,0.0,False,Романса,2025-05-17,0.0
ТЕ ЧЕКАМ,Џенифер Арментраут,450.0,0.0,False,Романса,2025-05-17,0.0
УМЕТНОСТА НА СОБЛЕКУВАЊЕТО Не е важно што облекуваш туку како го соблекуваш,Стефани Леман,599.0,499.0,True,Романса,2025-05-17,17.0
ФРИДА ИЛИ ЗА БОЛКАТА,Славенка Дракулиќ,499.0,0.0,False,Романса,2025-05-17,0.0
ЧОКОЛАДО,Џоана Харис,599.0,499.0,True,Романса,2025-05-17,17.0
БЕЛИ АНЂЕО – Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
БОГОРОДИЦА Majka Бoжја – Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
ВАСКРЕСЕЊЕ ХРИСТОВО- Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
ИСУС ХРИСТОС- Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
ПРЕСВЕТА БОГОРОДИЦА – Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
РОЖДЕСТВО ХРИСТОВО – Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
СВЕТ ЛУКА – Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
СВЕТА ПЕТКА – Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
СВЕТА ТРОЈИЦА – Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
СВЕТИ АРХАНГЕЛ МИХАИЛО – Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
СВЕТИ ВАСИЛИЈЕ ОСТРОШКИ – Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
СВЕТИ ВЕЛИКОМУЧЕНИК ДИМИТРИЈЕ – Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
СВЕТИ ГЕОРГИЈE – Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
СВЕТИ ДИМИТРИЈЕ – Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
СВЕТИ ЈОВАН КРСТИТЕЉ – Икона,,899.0,0.0,False,Икони,2025-05-17,0.0
