Title,Author,Real Price,Sale Price,Sale,Category
Фаворити,од: Лејн Фарго,590 ден,590 ден,0,Романси
Тунел,од: Ана Волц,400 ден,400 ден,0,Романси
Љубов во Рим,од: Сара Адамс,490 ден,490 ден,0,Романси
Шпанска љубовна измама,од: Елена Армас,590 ден,590 ден,0,Романси
Изопачени лаги,од: Ана Хуанг,590 ден,590 ден,0,Романси
Убавината на скршените нешта,од: Ивана Спасев,390 ден,390 ден,0,Романси
Убавината на скршените нешта,од: Ивана Спасев,390 ден,390 ден,0,Романси
Твој Толак,од: Торе Ренберг,370 ден,370 ден,0,Романси
За нас (Браќата Бејли #2),од: Клер Кингсли,550 ден,550 ден,0,Романси
Завеани за Божиќ,од: Сара Морган,490 ден,490 ден,0,Романси
Божиќниот клуб на читатели,од: Сара Морган,490 ден,490 ден,0,Романси
Бессони во Менхетен,од: Вај Киленд,450 ден,450 ден,0,Романси
Како намќорот го спаси Божиќ,од: Клер Кингсли,470 ден,470 ден,0,Романси
За тебе (Браќата Бејли #1),од: Клер Кингсли,390 ден,390 ден,0,Романси
Љубов на втор поглед,од: Меган Квин,590 ден,590 ден,0,Романси
ВРАЌАЊЕ,од: Али Мартинез,450 ден,450 ден,0,Романси
Невидлива убавина,од: Ејми Хармон,450 ден,450 ден,0,Романси
Деновите кога најмногу те љубев,од: Ејми Неф,490 ден,490 ден,0,Романси
Првата вечерна ѕвезда,од: Сузан Е. Филипс,440 ден,440 ден,0,Романси
Изопачена омраза,од: Ана Хуанг,500 ден,500 ден,0,Романси
"На господин Филип, со љубов (Бриџертон #5)",од: Џулија Квин,520 ден,520 ден,0,Романси
Венчани до изгрејсонце (Хатавеј #4),од: Лиса Клејпас,470 ден,349 ден,1,Романси
Кафеноока (Тревис #4),од: Лиса Клејпас,450 ден,450 ден,0,Романси
Со секој здив,од: Николас Спаркс,450 ден,450 ден,0,Романси
Договор за љубов (Dreamland Billionaires #2),од: Лорен Ашер,490 ден,490 ден,0,Романси
Љубов во Тел Авив,од: Сандра Малетски,370 ден,370 ден,0,Романси
Романса со господин Бриџертон (Бриџертон #4),од: Џулија Квин,520 ден,520 ден,0,Романси
Беспрекорно,од: Елси Силвер,520 ден,520 ден,0,Романси
Безобразни писма,од: Вај Киленд,450 ден,450 ден,0,Романси
Шепотот на судбината,од: Ана Антовска,390 ден,390 ден,0,Романси
Кралицата Шарлота,"од: Џулија Квин, Шонда Рајмс,",520 ден,520 ден,0,Романси
Скрши го мразот,од: Хана Грејс,590 ден,590 ден,0,Романси
Ривалите,од: Вај Киленд,450 ден,450 ден,0,Романси
Види ме,од: Николас Спаркс,590 ден,590 ден,0,Романси
Свадба во декември,од: Сара Морган,490 ден,490 ден,0,Романси
КУМ,од: Саша Богдан,300 ден,300 ден,0,Романси
Плејбој,од: Вај Киленд,450 ден,450 ден,0,Романси
Изопачени игри,од: Ана Хуанг,470 ден,470 ден,0,Романси
Сите недовршени нешта,од: Ребека Јарос,590 ден,590 ден,0,Романси
Последната желба,од: Николас Спаркс,550 ден,550 ден,0,Романси
Длабоко под површината,од: Памела Клер,420 ден,420 ден,0,Романси
Фустанот и Светец,од: Колин Хувер,350 ден,350 ден,0,Романси
Последното писмо,од: Ребека Јарос,590 ден,590 ден,0,Романси
Статистичка веројатност за љубов на прв поглед,од: Џенифер И. Смит,390 ден,390 ден,0,Романси
Танцувај со мене,од: Сузан Е. Филипс,520 ден,520 ден,0,Романси
Домашен фронт,од: Кристин Хана,550 ден,550 ден,0,Романси
ОСЛОБОДУВАЊЕ,од: Али Мартинез,450 ден,450 ден,0,Романси
Прекрасна грешка,од: Вај Киленд,450 ден,450 ден,0,Романси
ИГРАЧОТ,од: Вај Киленд,450 ден,450 ден,0,Романси
Изопачена љубов,од: Ана Хуанг,450 ден,450 ден,0,Романси
ПОГОДОКОТ #3,од: Ел Кенеди,450 ден,450 ден,0,Романси
Најслаткиот филџан кафе,од: Оља Петрушевска – Томева,320 ден,320 ден,0,Романси
Книгољупци,од: Емили Хенри,550 ден,550 ден,0,Романси
Љубов меѓу редови (Dreamland Billionaires #1),од: Лорен Ашер,490 ден,490 ден,0,Романси
Бадникова вечер во Фрајдеј Харбор (Фрајдеј Харбор #1),од: Лиса Клејпас,390 ден,390 ден,0,Романси
Понуда од џентлмен (Бриџертон #3),од: Џулија Квин,450 ден,450 ден,0,Романси
Грешката (Off-Campus #2),од: Ел Кенеди,450 ден,450 ден,0,Романси
Божиќ во Шкотска,од: Сара Морган,490 ден,490 ден,0,Романси
На работ,од: Памела Клер,490 ден,490 ден,0,Романси
Намами ме во самрак (Хатавеј #3),од: Лиса Клејпас,450 ден,450 ден,0,Романси
Ова започнува со нас,од: Колин Хувер,520 ден,520 ден,0,Романси
Поканата,од: Вај Киленд,450 ден,450 ден,0,Романси
