Title,Author,Real Price,Sale Price,IsOnSale,Category,Retrieved At,Discount (%)
Фаворити, Лејн Фарго,590.0,0.0,False,Романси,2025-05-02,0.0
Тунел, Ана Волц,400.0,0.0,False,Романси,2025-05-02,0.0
Љубов во Рим, Сара Адамс,490.0,0.0,False,Романси,2025-05-02,0.0
Шпанска љубовна измама, Елена Армас,590.0,0.0,False,Романси,2025-05-02,0.0
Изопачени лаги, Ана Хуанг,590.0,0.0,False,Романси,2025-05-02,0.0
Убавината на скршените нешта, Ивана Спасев,390.0,0.0,False,Романси,2025-05-02,0.0
Твој Толак, Торе Ренберг,370.0,0.0,False,Романси,2025-05-02,0.0
За нас (Браќата Бејли #2), Клер Кингсли,550.0,0.0,False,Романси,2025-05-02,0.0
Завеани за Божиќ, Сара Морган,490.0,0.0,False,Романси,2025-05-02,0.0
Божиќниот клуб на читатели, Сара Морган,490.0,0.0,False,Романси,2025-05-02,0.0
Бессони во Менхетен, Вај Киленд,450.0,0.0,False,Романси,2025-05-02,0.0
Како намќорот го спаси Божиќ, Клер Кингсли,470.0,0.0,False,Романси,2025-05-02,0.0
За тебе (Браќата Бејли #1), Клер Кингсли,390.0,0.0,False,Романси,2025-05-02,0.0
Љубов на втор поглед, Меган Квин,590.0,0.0,False,Романси,2025-05-02,0.0
ВРАЌАЊЕ, Али Мартинез,450.0,0.0,False,Романси,2025-05-02,0.0
Невидлива убавина, Ејми Хармон,450.0,0.0,False,Романси,2025-05-02,0.0
Деновите кога најмногу те љубев, Ејми Неф,490.0,0.0,False,Романси,2025-05-02,0.0
Првата вечерна ѕвезда, Сузан Е. Филипс,440.0,0.0,False,Романси,2025-05-02,0.0
Изопачена омраза, Ана Хуанг,500.0,0.0,False,Романси,2025-05-02,0.0
"На господин Филип, со љубов (Бриџертон #5)", Џулија Квин,520.0,0.0,False,Романси,2025-05-02,0.0
Венчани до изгрејсонце (Хатавеј #4), Лиса Клејпас,470.0,349.0,True,Романси,2025-05-02,26.0
Кафеноока (Тревис #4), Лиса Клејпас,450.0,0.0,False,Романси,2025-05-02,0.0
Со секој здив, Николас Спаркс,450.0,0.0,False,Романси,2025-05-02,0.0
Договор за љубов (Dreamland Billionaires #2), Лорен Ашер,490.0,0.0,False,Романси,2025-05-02,0.0
Љубов во Тел Авив, Сандра Малетски,370.0,0.0,False,Романси,2025-05-02,0.0
Романса со господин Бриџертон (Бриџертон #4), Џулија Квин,520.0,0.0,False,Романси,2025-05-02,0.0
Беспрекорно, Елси Силвер,520.0,0.0,False,Романси,2025-05-02,0.0
Безобразни писма, Вај Киленд,450.0,0.0,False,Романси,2025-05-02,0.0
Шепотот на судбината, Ана Антовска,390.0,0.0,False,Романси,2025-05-02,0.0
Кралицата Шарлота," Џулија Квин, Шонда Рајмс,",520.0,0.0,False,Романси,2025-05-02,0.0
Скрши го мразот, Хана Грејс,590.0,0.0,False,Романси,2025-05-02,0.0
Ривалите, Вај Киленд,450.0,0.0,False,Романси,2025-05-02,0.0
Види ме, Николас Спаркс,590.0,0.0,False,Романси,2025-05-02,0.0
Свадба во декември, Сара Морган,490.0,0.0,False,Романси,2025-05-02,0.0
КУМ, Саша Богдан,300.0,0.0,False,Романси,2025-05-02,0.0
Плејбој, Вај Киленд,450.0,0.0,False,Романси,2025-05-02,0.0
Изопачени игри, Ана Хуанг,470.0,0.0,False,Романси,2025-05-02,0.0
Сите недовршени нешта, Ребека Јарос,590.0,0.0,False,Романси,2025-05-02,0.0
Последната желба, Николас Спаркс,550.0,0.0,False,Романси,2025-05-02,0.0
Длабоко под површината, Памела Клер,420.0,0.0,False,Романси,2025-05-02,0.0
Фустанот и Светец, Колин Хувер,350.0,0.0,False,Романси,2025-05-02,0.0
Последното писмо, Ребека Јарос,590.0,0.0,False,Романси,2025-05-02,0.0
Статистичка веројатност за љубов на прв поглед, Џенифер И. Смит,390.0,0.0,False,Романси,2025-05-02,0.0
Танцувај со мене, Сузан Е. Филипс,520.0,0.0,False,Романси,2025-05-02,0.0
Домашен фронт, Кристин Хана,550.0,0.0,False,Романси,2025-05-02,0.0
ОСЛОБОДУВАЊЕ, Али Мартинез,450.0,0.0,False,Романси,2025-05-02,0.0
Прекрасна грешка, Вај Киленд,450.0,0.0,False,Романси,2025-05-02,0.0
ИГРАЧОТ, Вај Киленд,450.0,0.0,False,Романси,2025-05-02,0.0
Изопачена љубов, Ана Хуанг,450.0,0.0,False,Романси,2025-05-02,0.0
ПОГОДОКОТ #3, Ел Кенеди,450.0,0.0,False,Романси,2025-05-02,0.0
Најслаткиот филџан кафе, Оља Петрушевска – Томева,320.0,0.0,False,Романси,2025-05-02,0.0
Книгољупци, Емили Хенри,550.0,0.0,False,Романси,2025-05-02,0.0
Љубов меѓу редови (Dreamland Billionaires #1), Лорен Ашер,490.0,0.0,False,Романси,2025-05-02,0.0
Бадникова вечер во Фрајдеј Харбор (Фрајдеј Харбор #1), Лиса Клејпас,390.0,0.0,False,Романси,2025-05-02,0.0
Понуда од џентлмен (Бриџертон #3), Џулија Квин,450.0,0.0,False,Романси,2025-05-02,0.0
Грешката (Off-Campus #2), Ел Кенеди,450.0,0.0,False,Романси,2025-05-02,0.0
Божиќ во Шкотска, Сара Морган,490.0,0.0,False,Романси,2025-05-02,0.0
На работ, Памела Клер,490.0,0.0,False,Романси,2025-05-02,0.0
Намами ме во самрак (Хатавеј #3), Лиса Клејпас,450.0,0.0,False,Романси,2025-05-02,0.0
Ова започнува со нас, Колин Хувер,520.0,0.0,False,Романси,2025-05-02,0.0
Поканата, Вај Киленд,450.0,0.0,False,Романси,2025-05-02,0.0
Заведи ме в мугри (Хатавеј #2), Лиса Клејпас,450.0,0.0,False,Романси,2025-05-02,0.0
Шах мат, Р.Л Метјусон,440.0,0.0,False,Романси,2025-05-02,0.0
Еднаш и засекогаш, Џудит МекНот,490.0,0.0,False,Романси,2025-05-02,0.0
Предоцна, Колин Хувер,490.0,0.0,False,Романси,2025-05-02,0.0
Совршен допир, Ана Антовска,350.0,0.0,False,Романси,2025-05-02,0.0
Договорот (Off-Campus #1), Ел Кенеди,450.0,0.0,False,Романси,2025-05-02,0.0
Забранет допир, Памела Клер,450.0,0.0,False,Романси,2025-05-02,0.0
Совршенство, Р.Л Метјусон,440.0,0.0,False,Романси,2025-05-02,0.0
Татјана и Александар II: Мостот Кон Светиот Крст, Паулина Сајмонс,500.0,0.0,False,Романси,2025-05-02,0.0
Со љубов од Лондон, Сара Џио,490.0,0.0,False,Романси,2025-05-02,0.0
Сите ја сакаат Марта, Мирјана Проданова,320.0,0.0,False,Романси,2025-05-02,0.0
Коронтин, Саша Богдан,300.0,0.0,False,Романси,2025-05-02,0.0
Егоманијак, Вај Киленд,450.0,0.0,False,Романси,2025-05-02,0.0
Луѓето кои ги среќаваме на одмор, Емили Хенри,450.0,0.0,False,Романси,2025-05-02,0.0
Татјана и Александар I: Втората Америка, Паулина Сајмонс,500.0,0.0,False,Романси,2025-05-02,0.0
Жртвување со оган, Лепа Гештаковска Христовска,300.0,0.0,False,Романси,2025-05-02,0.0
Закопана вистина, Далибор Трајков,300.0,0.0,False,Романси,2025-05-02,0.0
Споменот на него, Колин Хувер,490.0,0.0,False,Романси,2025-05-02,0.0
Можеби сега, Колин Хувер,420.0,0.0,False,Романси,2025-05-02,0.0
Моја до полноќ (Хатавеј #1), Лиса Клејпас,440.0,0.0,False,Романси,2025-05-02,0.0
Умри за мене, Синтија Идн,450.0,225.0,True,Романси,2025-05-02,50.0
Жената со сина ѕвезда, Пам Џеноф,450.0,0.0,False,Романси,2025-05-02,0.0
Здравица, Саша Богдан,250.0,0.0,False,Романси,2025-05-02,0.0
Господин Неподнослив, Вај Киленд,420.0,0.0,False,Романси,2025-05-02,0.0
Улицата на бродовите, Сара Џио,450.0,0.0,False,Романси,2025-05-02,0.0
Ова завршува со нас (тврд повез), Колин Хувер,500.0,0.0,False,Романси,2025-05-02,0.0
Коски на срцето (тврд повез), Колин Хувер,550.0,0.0,False,Романси,2025-05-02,0.0
Додека има ѕвезди, Сара Џио,490.0,0.0,False,Романси,2025-05-02,0.0
Присестра, Џенифер Донели,450.0,0.0,False,Романси,2025-05-02,0.0
